security,ARIMA_MSE_cumulative_return_test,ARIMA_MSE_cumulative_return_xval,ARIMA_MSE_price_test,ARIMA_MSE_price_xval,ARIMA_R2_cumulative_return_test,ARIMA_R2_cumulative_return_xval,ARIMA_R2_price_test,ARIMA_R2_price_xval,ARIMA_best_order_0,ARIMA_best_order_1,ARIMA_best_order_2,ARIMA_pred_cumulative_return_test,ARIMA_pred_cumulative_return_xval,cumulative_return_test,cumulative_return_xval
AEP,1.064062865220514e-05,1.0312148881650945e-05,0.0522691704256395,0.07344546675690412,-0.40489232302410905,-0.11589717249136156,-0.5230193717804801,-0.75604611255102,5,1,2,0.0013180899643887578,0.00014847743166246374,0.003500068440038806,0.0022104581240907084
AER,7.776476128558398e-05,0.00030514047031292177,1.6534485986729972,0.2618136382205684,0.46083232603679636,-1.8612197733777256,-4.356985636148075,-0.20588393519735115,2,0,4,-0.023847980828130555,-0.004651126807613926,-0.028102011591094267,0.028590448328688955
AES,0.0004023505402449057,5.9870139286865226e-05,0.03292906483768026,0.002018521886717525,-1.276099491642667,-0.5304077043352389,-0.4876675060357072,0.6097263223827595,1,0,0,-0.0031972772157350393,-0.012196703794860708,0.02502234137622894,-0.01723901912452863
AET,0.00021285198107428194,0.00014261705705528847,54.931556097266636,11.691709855547606,-0.4038936156273947,0.26312003320032695,-17.765550998233493,-2.372844659399986,0,1,1,0.013528166349510373,0.011892050586030045,0.03915078889854162,0.037958618576423575
AFG,0.00037599884467642104,0.00015144355324891233,1.3436586101849082,0.8689026028150025,-1.7084274705697675,-3.437842926430136,-0.06874251203927328,-1.724595025241681,1,1,0,0.009457185835924475,0.00979491525474585,0.02465081144177761,-0.013649752896845335
AFL,0.00017356011171820146,6.338843716018938e-05,1.915079741205577,0.13699126385394564,-11.365171230759492,-7.095619188995727,-23.41172490187344,-2.109528524537365,0,1,1,0.010343831750988297,0.008929761859149954,-0.010700949419450323,0.00013324889659394046
AGCO,9.649513539692082e-05,0.0003087778195625818,11.47611774191357,8.266932924229044,-3.174907321804861,-2.306454507065833,-121.13097791943053,-21.46532288584296,3,0,2,-0.008976399221449771,0.0027575137029711705,0.008453094974555597,0.019710728034534997
AGN,0.0008473557325961859,0.000492710821312459,41.04745008124082,31.272369976029747,-0.3807717592991977,-2.654856338386982,-0.125686461079751,-3.0877333787680596,4,1,2,-0.0028475625837688368,-0.0014394964716561987,-0.052305547512010775,0.03055998224095391
AGNC,0.00040482815750899503,0.00024591233677455707,1.6420444084301324,0.10430934031997079,-5.217594827485094,-0.23121929109343164,-61.23706407190247,-0.21999280763314055,0,1,1,0.0171731338758625,0.014564733854658618,-0.008445107225290904,-0.009183228169007962
AGR,0.0001153076813524068,0.0001066919207644866,0.20152385192873273,0.08319995757179785,-1.7084338372782564,-4.944628428655496,-1.5282071599774172,-1.4053994374096463,0,1,3,0.00573619170914319,0.0074199857945786984,0.015253062167783549,-0.00045560362389052145
